Runner,Benchmark Type,Metric,Count,Mean Latency (ms),P50 Latency (ms),P95 Latency (ms),Std Latency (ms),Min Latency (ms),Max Latency (ms),Task Count,Accuracy,Source,Claim Boundary
local_fixture:affordance_weighted,local_fixture,mean_latency_ms,1,0.017124999612860847,0.017124999612860847,0.017124999612860847,0.0,0.017124999612860847,0.017124999612860847,20,0.95,summary.json,Latency trend is a local machine diagnostic and varies with system load; it is not an official benchmark score.
local_fixture:random,local_fixture,mean_latency_ms,1,0.0008899998647393659,0.0008899998647393659,0.0008899998647393659,0.0,0.0008899998647393659,0.0008899998647393659,20,0.35,summary.json,Latency trend is a local machine diagnostic and varies with system load; it is not an official benchmark score.
local_fixture:schema_match,local_fixture,mean_latency_ms,1,0.01808500019251369,0.01808500019251369,0.01808500019251369,0.0,0.01808500019251369,0.01808500019251369,20,0.95,summary.json,Latency trend is a local machine diagnostic and varies with system load; it is not an official benchmark score.
official_compatible_subset:schema_match_enhanced,official_compatible_subset,mean_latency_ms,1,0.04121499994653277,0.04121499994653277,0.04121499994653277,0.0,0.04121499994653277,0.04121499994653277,100,1.0,official_compatible_subset_results.json,Latency trend is a local machine diagnostic and varies with system load; it is not an official benchmark score.
official_user_supplied:bfcl_simple,official_user_supplied_local_evaluation,mean_latency_ms,1,0.022985999967204407,0.022985999967204407,0.022985999967204407,0.0,0.022985999967204407,0.022985999967204407,400,1.0,official_dataset_ingestion.json,Latency trend is a local machine diagnostic and varies with system load; it is not an official benchmark score.
p0_acceptance,local_diagnostic,p95_latency_ms,1,5.236299999523908,5.236299999523908,5.236299999523908,0.0,5.236299999523908,5.236299999523908,,,p0_acceptance_results.json,Latency trend is a local machine diagnostic and varies with system load; it is not an official benchmark score.
