Baseline,Benchmark Type,Claim Scope,Seeds,Scenarios,Trials,Success Rate,Mean Reward,Reward Std,Reward Min,Reward Max,Pseudo Regret Mean,Pseudo Regret Std,Failure Cost Mean,Failure Cost Total,Unsafe Selection Rate,Exploration Efficiency,Nonstationary Recovery Steps,Limitations
efe,local_diagnostic,multi_seed_bandit_baseline_comparison,5,53,265,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19,Local deterministic scenarios; not official benchmark data.
epsilon_greedy,local_diagnostic,multi_seed_bandit_baseline_comparison,5,53,265,0.8113207547169812,0.5311320754716982,1.0146757587371358,-2.75,1.0,0.4688679245283019,1.0146757587371358,0.280188679245283,74.25,0.06415094339622641,0.9666666666666667,19,Local deterministic scenarios; not official benchmark data.
ucb,local_diagnostic,multi_seed_bandit_baseline_comparison,5,53,265,0.06037735849056604,-1.7188679245283018,0.9225308165530267,-2.75,1.0,2.718867924528302,0.9225308165530267,1.7792452830188679,471.5,0.6716981132075471,0.0,21,Local deterministic scenarios; not official benchmark data.
thompson,local_diagnostic,multi_seed_bandit_baseline_comparison,5,53,265,0.8754716981132076,0.6981132075471698,0.8285256543178242,-2.75,1.0,0.3018867924528302,0.8285256543178242,0.17735849056603772,47.0,0.03773584905660377,0.8666666666666667,19,Local deterministic scenarios; not official benchmark data.
schema_match,local_diagnostic,multi_seed_bandit_baseline_comparison,5,53,265,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19,Local deterministic scenarios; not official benchmark data.
affordance_weighted,local_diagnostic,multi_seed_bandit_baseline_comparison,5,53,265,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19,Local deterministic scenarios; not official benchmark data.
