Condition,Runner Mode,Success Rate Mean,Success Rate Std,Latency Mean (ms),Latency Std (ms),Preparedness Mean,Preparedness Std,Causal Updates Mean,Context Blocks Mean,RPE Mean,Approximation
full,real_turn_orchestrator_mock_tools,1.0,0.0,2.6022300002296106,0.0,0.6901687591722242,0.0,10.0,7.4,0.85341,
no_prediction,real_turn_orchestrator_mock_tools,1.0,0.0,2.445139999690582,0.0,0.6901687591722242,0.0,10.0,7.4,0.85341,Maps to orchestrator prediction_lr=0.0 to freeze cognitive value updates
no_cls,real_turn_orchestrator_mock_tools,1.0,0.0,2.8746800000590156,0.0,0.6859864769047287,0.0,10.0,8.4,0.85341,
no_preparedness,real_turn_orchestrator_mock_tools,1.0,0.0,2.4708300001293537,0.0,0.0,0.0,10.0,7.4,0.85341,
no_causal_utility,real_turn_orchestrator_mock_tools,1.0,0.0,2.4544600000808714,0.0,0.6901687591722242,0.0,0.0,7.4,0.85341,
fixed_exploration,real_turn_orchestrator_mock_tools,1.0,0.0,2.5758599998880527,0.0,0.6901687591722242,0.0,10.0,7.4,0.85341,
no_executive_control,real_turn_orchestrator_mock_tools,1.0,0.0,3.3387599998604856,0.0,0.6901687591722242,0.0,10.0,7.4,0.85341,Matches current default runtime; contrasted with executive_control extension
executive_control,real_turn_orchestrator_mock_tools,1.0,0.0,2.4355200001082267,0.0,0.6901687591722242,0.0,10.0,7.4,0.85341,
